load_perc,portal_shares,seconds,portal_cpu_usage,stress_cpu_uasge,job_exec_time
100,1024,116,8.631322960655986,0,
106,1024,118,7.315291177031006,0,
106,1024,121,7.634302790600152,0,
106,1024,124,7.634302790600152,0,
106,1024,126,6.868438279243922,0,
112,1024,129,6.868438279243922,0,
112,1024,131,6.046533596581983,8.514034088364435,
112,1024,134,5.231944206153989,8.514034088364435,
112,1024,137,5.247563248556276,3.5095302011211595,
118,1024,140,4.507102827616974,4.414838941837924,
118,1024,142,4.990855313391834,5.341823891917685,
131,1024,145,5.012381995919927,6.110746200031887,
131,1024,148,5.012381995919927,6.949975305667424,
131,1024,150,4.9410233229374585,7.806694919670473,
131,1024,153,4.9410233229374585,8.65893251589918,
131,1024,156,4.942633552350005,9.86089149151669,
131,1024,159,4.942633552350005,9.86089149151669,
131,1024,161,4.890214125987726,9.881712915053585,1:173
137,1024,164,4.968771117724199,9.881712915053585,1:173
137,1024,167,4.795962419736541,10.048112217665224,1:173
137,1024,169,4.7166089342147846,7.983696242083332,1:173
137,1024,171,4.721641822222221,10.288417033389402,1:173
131,1024,174,4.711737164060675,9.223222923199154,1:173
131,1024,176,5.593513461775467,8.329842687881747,1:173
125,1024,178,5.126834346192299,8.329842687881747,1:173
125,1024,181,6.498752805870325,6.516422973050577,1:173
118,1024,183,5.877125437479474,6.5164229730505765,1:173
118,1024,185,7.4523970483274375,4.878974081539382,1:173
112,1024,188,7.4523970483274375,4.436589411023818,1:173
112,1024,190,8.796318166233656,2.5424203311053364,1:173
112,1024,192,8.796318166233656,2.5424203311053364,1:173
112,1024,195,8.518231940018026,0.38642058879289093,1:173
112,1024,197,9.757417094684927,0.35109727816769054,1:173
112,1024,200,8.719197937985916,0,1:173
112,1024,202,9.725075709080325,0,1:173
112,1024,205,9.727039136393019,0,1:173
112,1024,208,8.866679988663755,0,1:173
118,1024,210,7.988818934199773,4.3227532122594905,1:173
118,1024,213,7.988818934199773,4.3227532122594905,1:173
118,1024,216,6.978796386765678,5.39840831418505,1:173
125,1024,219,6.978796386765678,4.083811523408676,1:173
125,1024,221,6.131100386682956,4.894152922502269,1:173
125,1024,224,6.131100386682956,4.604251878499998,1:173
125,1024,227,5.141986384301162,6.661584064442191,1:173
137,1024,229,5.141986384301162,7.609577019940661,1:173
137,1024,232,5.105363773350088,8.573891110886905,1:173
137,1024,234,5.105363773350088,10.053910522367016,1:173
137,1024,237,5.119940746837483,10.017724172485874,1:173
137,1024,240,4.626303796136834,9.996826035797703,1:173
137,1024,242,5.214093767970731,9.997397163514501,1:173
143,1024,245,4.465805156428816,10.030687594498236,1:173
143,1024,248,5.187923759462852,10.030687594498234,1:173
143,1024,251,5.040301704618066,10.12351084000776,1:173
143,1024,253,5.040301704618066,10.12351084000776,1:173
143,1024,256,5.216932510721172,9.92624128063993,1:173
143,1024,259,5.216932510721172,9.92624128063993,1:173
143,1024,261,5.2636217527499385,9.930186577064292,1:173
137,1024,263,5.2636217527499385,9.930186577064292,1:173
137,1024,266,6.11427306191986,8.55637477122321,1:173
131,1024,268,6.11427306191986,7.5597567591203685,1:173
131,1024,270,6.992288781931338,6.263643325399467,1:173
125,1024,273,6.992288781931338,5.706325403525686,1:173
125,1024,275,7.874799856464108,4.140459293753892,1:173
125,1024,277,7.874799856464108,3.691743918558804,1:173
125,1024,280,8.73700158239593,2.3438559020878795,1:173
125,1024,282,8.73700158239593,2.1211683636351655,1:173
118,1024,284,7.806743900579627,0.08283270432739713,1:173
118,1024,287,9.358691673097018,0.07292161513353952,1:173
112,1024,289,7.424318967749999,0,1:173
112,1024,292,9.550832107705121,0,1:173
118,1024,295,8.41332800367744,0,1:173
118,1024,297,8.654086471425744,0,1:173
125,1024,300,7.559042306888698,0,1:173
125,1024,303,7.663706521100562,0,1:173
125,1024,305,6.904098109373078,0,1:173
131,1024,308,6.904098109373078,0,1:173
131,1024,311,6.061425512403225,0,1:173
131,1024,313,6.061425512403225,0,1:173
131,1024,316,5.095683667581772,9.33091143030809,1:173
131,1024,319,4.4092383747448185,0,1:173
131,1024,322,4.915287600374089,3.2031883881183174,1:173
131,1024,324,4.915287600374089,4.118870277034338,1:173
131,1024,327,4.938380433734439,5.070429591702551,1:173
131,1024,330,4.365199078058995,4.841551584050002,1:173
131,1024,332,4.932029377822759,6.898341355708101,1:173
137,1024,335,4.347505932623283,6.5158656015555545,1:173
137,1024,338,4.955383770178387,8.694908737494744,1:173
137,1024,340,4.948902825195751,10.249129365388567,2:179
137,1024,343,4.948902825195751,10.249129365388567,2:179
137,1024,346,4.869873689660661,10.321934750404598,2:179
137,1024,348,4.869873689660661,10.321934750404598,2:179
137,1024,350,4.8501458800342085,10.305313738365287,2:179
131,1024,353,4.8501458800342085,10.305313738365287,2:179
131,1024,355,5.6334261137365464,9.210137775762005,2:179
131,1024,357,5.6334261137365464,8.186922169334096,2:179
125,1024,360,6.6770824182483155,7.400710341821562,2:179
125,1024,362,6.6770824182483155,6.27062187262541,2:179
